ID,entrytype,title,author,year,journal,volume,number,pages,month,note,publisher,address,abstract
alma9931602773404105,,Banking and asset bubbles : testing the theory of free banking using agent-based computer simulations and laboratory experiments,"McBride, William Howard Alford and Houser, Daniel",2010,,,,,,,[publisher not identified],Place of publication not identified,"Throughout much of the 18th and 19th centuries, many countries practiced free banking, i.e. competitive note issue without control by a central bank. Modern day proponents of free banking argue it is capable of limiting asset bubbles by making for a more stable relationship between the volume of base money present in an economy and corresponding levels of credit and aggregate spending. The main contribution of this dissertation is to provide a novel test of this claim by using the canonical laboratory double auction asset trading market (CLDAATM) initiated by Vernon Smith and others, which tends to generate asset price bubbles. Chapter 1 describes an agent-based model and simulation of CLDAATM using three types of trading strategies: value, momentum, and speculative. The results closely resemble the asset price bubbles generated in the laboratory. Chapter 2 augments the design of Chapter 1 by adding an agent-based model and simulation of banking, with the purpose of comparing both free and central banking to CLDAATM. The results indicate that both free and central banking reduce the tendency to bubble as compared to CLDAATM, and free banking is most effective in this regard. Chapter 3 describes a laboratory experiment design which augments CLDAATM using simulated trading and banking agents."
alma9946891995804105,,Dynamic Optimization in Environmental Economics,"Moser, Elke. and Semmler, Willi. and Tragler, Gernot. and Veliov, Vladimir M.",2014,,,,,,,Springer Berlin Heidelberg,"Berlin, Heidelberg","The book presents new developments in the dynamic modeling and optimization methods in environmental economics and provides a huge range of applications dealing with the economics of natural resources, the impacts of climate change and of environmental pollution, and respective policy measures. The interrelationship between economic activities and environmental quality, the development of cleaner technologies, the switch from fossil to renewable resources and the proper use of policy instruments play an important role along the path towards a sustainable future. Biological, physical and economic processes are naturally involved in the subject, and postulate the main modelling, simulation and decision-making tools: the methods of dynamic optimization and dynamic games."
alma9946878466304105,,Mathematical modeling of collective behavior in socio-economic and life sciences,"Naldi, Giovanni. and Pareschi, Lorenzo. and Toscani, Giuseppe.",2010,,,,,,,Springer Science+Business Media,New York,"Mathematical modeling using dynamical systems and partial differential equations is now playing an increasing role in the understanding of complex multi-scale phenomena. Behavior in seemingly different areas such as sociology, economics, and the life sciences can be described by closely related models. Systems made out of a large enough number of individual members can be said to exhibit a collective behavior, from which insight can be gathered in a way that real-life experiments cannot. Using examples from financial markets and modern warfare to the flocking of birds and the swarming of bacteria, the collected research in this volume demonstrates the common methodological approaches and tools for modeling and simulating collective behavior. Specific topics covered include: * analysis of wealth distributions * dynamics of price formation * spreading of opinions * models of social behavior * population dynamics * aggregation and swarming The topics presented point toward new and challenging frontiers of applied mathematics, making the volume a useful reference text for applied mathematicians, physicists, biologists, and economists involved in the modeling of socio-economic systems."
alma9947141690404105,,Might Global Uncertainty Promote International Trade?,"Baley, Isaac. and Veldkamp, Laura. and Waugh, Michael E.",2019,,,,,,,National Bureau of Economic Research,"Cambridge, Mass","Common wisdom dictates that uncertainty impedes trade--we show that uncertainty can fuel more trade in a simple general equilibrium trade model with information frictions. In equilibrium, increases in uncertainty increase both the mean and the variance in returns to exporting implying that trade can increase or decrease with uncertainty depending on preferences. Under general conditions on preferences, we characterize the importance of these forces using a sufficient statistics approach. Higher uncertainty leads to increases in trade because agents receive improved terms of trade, particularly in states of nature where consumption is most valuable. Trade creates value, in part, by offering a mechanism to share risk and risk sharing is most effective when both parties are uninformed."
alma9912678223004101,,The theory of incentives : the principal-agent model,"Laffont, Jean-Jacques and Martimort, David.",2002,,,,,,,Princeton University Press,"Princeton, N.J","Economics has much to do with incentives--not least, incentives to work hard, to produce quality products, to study, to invest, and to save. Although Adam Smith amply confirmed this more than two hundred years ago in his analysis of sharecropping contracts, only in recent decades has a theory begun to emerge to place the topic at the heart of economic thinking. In this book, Jean-Jacques Laffont and David Martimort present the most thorough yet accessible introduction to incentives theory to date. Central to this theory is a simple question as pivotal to modern-day management as it is to economics research: What makes people act in a particular way in an economic or business situation? In seeking an answer, the authors provide the methodological tools to design institutions that can ensure good incentives for economic agents. This book focuses on the principal-agent model, the ""simple"" situation where a principal, or company, delegates a task to a single agent through a contract--the essence of management and contract theory. How does the owner or manager of a firm align the objectives of its various members to maximize profits? Following a brief historical overview showing how the problem of incentives has come to the fore in the past two centuries, the authors devote the bulk of their work to exploring principal-agent models and various extensions thereof in light of three types of information problems: adverse selection, moral hazard, and non-verifiability. Offering an unprecedented look at a subject vital to industrial organization, labor economics, and behavioral economics, this book is set to become the definitive resource for students, researchers, and others who might find themselves pondering what contracts, and the incentives they embody, are really all about."
alma9947114018704105,,Routledge handbook of energy economics,"Soytaş, Uğur and Sarı, Ramazan",2019,,,,,,,Routledge,"Abingdon, Oxon ; New York, NY","""Energy consumption and production have major influences on the economy, environment and society, but in return they are also influenced by how the economy is structured, how the social institutions work, and how the society deals with environmental degradation. The need for integrated assessment of the relationship between energy, economy, environment, and society is clear and this handbook offers an in-depth review of all four pillars of the energy-economy-environment-society nexus. Bringing together contributions from all over the world, this handbook includes sections devoted to each of the four pillars. Moreover, as the financialization of commodity markets has made risk analysis more complicated and intriguing the sections also cover energy commodity markets and their links to other financial and non-financial markets. In addition, econometric modelling and the forecasting of energy needs, as well as energy prices and volatilities, are also explored. Each section emphasises the multidisciplinary nature of the energy economics field and from this perspective, chapters offer a review of models and methods used in the literature. The Routledge Handbook of Energy Economics will be of great interest to all those studying and researching in the area of energy economic. It offers guidelines and suggestions for policy makers as well as for future research""-- Provided by publisher."
alma9946939998404105,,The New Palgrave Dictionary of Economics,Macmillan Publishers Ltd.,2018,,,,,,,Palgrave Macmillan UK,London,"Recoge artículos de economistas de prestigio internacional, incluidos Premios Nobel, sobre todos los ámbitos económicos, micro y macroeconomía, economía política, economía internacional, economía matemática, escuelas económicas, etc.  Contiene el contenido completo de la primera edición de 1987."
alma9947012958504105,,Competition and Cooperation in Economics and Business.,"A. Husodo, Zaäfri and A. Husodo, Zaäfri and Y. Gitaharie, Beta and Gani, Lindawati and Kuncoro, Ari",2017,,,,,,,Routledge,,"Asia and the Pacific have become the growth engine of the world economy with the contribution of two-third of the global growth. The book discusses current issues in economics, business, and accounting in which economic agents, as individuals, entrepreneurs and professionals, as well as countries in the Asia and Pacific regions compete and collaborate with each other and with the rest of the globe. Areas covered in the book include economic development and sustainability, labor market competition, Islamic economic and business, marketing, finance, accounting standard compliances, and taxation. It will help shed light on what business and economic scholars in regions have done in terms of research and knowledge development, as well as the new frontiers of research that have been explored and opening up."
alma9946882781304105,,Approaches to geo-mathematical modelling : new tools for complexity science,"Wilson, A. G. (Alan Geoffrey)",2016,,,,,,,John Wiley & Sons,"Chichester, UK ;","Geo-mathematical modelling: models from complexity science  Sir Alan Wilson, Centre for Advanced Spatial Analysis, University College London  Mathematical and computer models for a complexity science tool kit  Geographical systems are characterised by locations, activities at locations, interactions between them and the infrastructures that carry these activities and flows. They can be described at a great variety of scales, from individuals and organisations to countries. Our understanding, often partial, of these entities, and in many cases this understanding is represented in theories and associated mathematical models.  In this book, the main examples are models that represent elements of the global system covering such topics as trade, migration, security and development aid together with examples at finer scales. This provides an effective toolkit that can not only be applied to global systems, but more widely in the modelling of complex systems. All complex systems involve nonlinearities involving path dependence and the possibility of phase changes and this makes the mathematical aspects particularly interesting. It is through these mechanisms that new structures can be seen to ‘emerge’, and hence the current notion of ‘emergent behaviour’. The range of models demonstrated include account-based models and biproportional fitting, structural dynamics, space-time statistical analysis, real-time response models, Lotka-Volterra models representing ‘war’, agent-based models, epidemiology and reaction-diffusion approaches, game theory, network models and finally, integrated models.  Geo-mathematical modelling: Presents mathematical models with spatial dimensions. Provides representations of path dependence and phase changes. Illustrates complexity science using models of trade, migration, security and development aid. Demonstrates how generic models from the complexity science tool kit can each be applied in a variety of situations  This book is for practitioners and researchers in applied mathematics, geography, economics, and interdisciplinary fields such as regional science and complexity science. It can also be used as the basis of a modelling course for postgraduate students."
alma9946902355204105,,Contesting trade in Central America : market reform and resistance,"Spalding, Rose J.",2014,,,,,,,University of Texas Press,Austin,"In 2004, the United States, five Central American countries, and the Dominican Republic signed the Central American Free Trade Agreement (CAFTA), signaling the region’s commitment to a neoliberal economic model. For many, however, neoliberalism had lost its luster as the new century dawned, and resistance movements began to gather force. Contesting Trade in Central America is the first book-length study of the debate over CAFTA, tracing the agreement’s drafting, its passage, and its aftermath across Central America. Rose J. Spalding draws on nearly two hundred interviews with representatives from government, business, civil society, and social movements to analyze the relationship between the advance of free market reform in Central America and the parallel rise of resistance movements. She views this dynamic through the lens of Karl Polanyi’s “double movement” theory, which posits that significant shifts toward market economics will trigger oppositional, self-protective social countermovements. Examining the negotiations, political dynamics, and agents involved in the passage of CAFTA in Costa Rica, El Salvador, and Nicaragua, Spalding argues that CAFTA served as a high-profile symbol against which Central American oppositions could rally. Ultimately, she writes, post-neoliberal reform “involves not just the design of appropriate policy mixes and sequences, but also the hard work of building sustainable and inclusive political coalitions, ones that prioritize the quality of social bonds over raw economic freedom.”"
alma9946891998004105,,"Analytical Issues in Trade, Development and Finance Essays in Honour of Biswajit Chatterjee","Ghosh, Ambar Nath. and Karmakar, Asim K.",2014,,,,,,,Springer India,New Delhi,"The book’s 30 chapters are divided into three sections – international trade, economic development, macroeconomics and finance – and focus on the frontier issues in each. Section I addresses analytical issues relating to trade-environment linkage, capital accumulation for pollution abatement, possibility of technology diffusion by multinational corporations, nature of innovation inducing tariff protection, effects of import restriction and child labour, the links between exchange rate, direction of trade and financial crisis—the implications for India and global economic crisis, financial institutions and global capital flows and balance of payments imbalances. Section II consists of discussions on the causes of widespread poverty persisting in South Asia, development dividend associated with peace in South Asia, issues of well-being and human development, implications for endogenous growth through human capital accumulation on environmental quality and taxation, the rationale for a labour supply schedule for the poor, switching as an investment strategy, the role of government and strategic interaction in the presence of information asymmetry, government’s role in controlling food inflation, inter-state variations in levels and growth of industry in India, structural breaks in India’s service sector development, and the phenomenon of wasted votes in India’s parliamentary elections. Section III deals with the effectiveness of monetary policy in tackling economic crisis, the effective demand model of corporate leverages and recession, the empirical link between stock market development and economic growth in cross-country experience in Asia, an empirical verification of the Mckinnon-Shaw hypothesis for financial development in India, the dynamics of the behaviour of the Indian stock market, efficiency of non-life insurance companies, econometric study of the causal linkage between FDI and current account balance in India and the implications of contagious crises for the Indian economy."
alma9947480062804105,,New Frontiers in Microsimulation Modelling.,"Zaidi, Asghar.",2017,,,,,,,Taylor and Francis,,"""In the past fifteen years, microsimulation models have become firmly established as vital tools for analysis of the distributional impact of changes in governmental programmes. Across Europe, the US, Canada and Australia, microsimulation models are used extensively to assess who are the winners and losers from proposed policy reforms; this is now expanding into new frontiers, both geographically and in terms of policy areas. With contributions from more than 60 international experts, this volume offers a comprehensive introduction to the state of microsimulation internationally, illustrating a wide range of new applications and approaches. It will be of relevance to government policy makers, social policy planners, economists and those concerned with predicting the impact of public policy change and to academics in a variety of disciplines, especially social and public policy, human geography, development studies and economics.""--Provided by publisher."
alma9946889915404105,,Formal modelling in electronic commerce,"Kimbrough, Steve. and Wu, D. J.",2005,,,,,,,Springer,Berlin ;,"Advances in automation for electronic commerce require improved understanding and formalization of the objects, processes, and policies of commerce itself. These include business objects such as bills of lading and contracts; processes such as workflows and trade procedures; and policies covering such problems as contract or procedure validation and strategic behaviour. This book is about theory, formalization, and proof-of-concept implementation of these and related matters. In addition to presenting state-of-the-art results, the book places this work in the context of nearly twenty years of developments in formal modelling for electronic commerce. A comprehensive bibliography and index are provided."
alma9946906257104105,,Chile's structural fiscal surplus rule : a model-based evaluation,"Kumhof, Michael. and Laxton, Douglas.",2009,,,,,,,International Monetary Fund,Washington D.C,"The paper analyzes Chile's structural balance fiscal rule in the face of copper price shocks originating in foreign copper demand. It uses a version of the IMF's Global Integrated Monetary and Fiscal Model (GIMF) that includes a copper sector. Two results are obtained. First, Chile's current fiscal rule performs well if the policymaker puts a small weight on output volatility (relative to inflation volatility) in his/her objective function. A more aggressive countercyclical fiscal rule can attain lower output volatility, but there is a trade-off with (somewhat) higher inflation volatility and (much) higher volatility of fiscal variables. Second, given its current stock of government assets, Chile's adoption of a 0.5% surplus target starting in 2008 is desirable from a business cycle perspective. This is because the earlier 1% target would have required significant further asset accumulation that could only have been accomplished at the expense of greater volatility in fiscal instruments and therefore in GDP."
alma9946929865104105,,Analytical political economy,"Veneziani, Roberto and Zamparelli, Luca",2018,,,,,,,Wiley Blackwell,"Hoboken, NJ","Offering a unique picture of recent developments in a range of non-conventional theoretical approaches in economics, this book introduces readers to the study of Analytical Political Economy and the changes within the subject. Includes a wide range of topics and theoretical approaches that are critically and thoroughly reviewed Contributions within the book are written according to the highest standards of rigor and clarity that characterize academic work Provides comprehensive and well-organized surveys of cutting-edge empirical and theoretical work covering an exceptionally wide range of areas and fields Topics include macroeconomic theories of growth and distribution; agent-based and stock-flow consistent models; financialization and Marxian price and value theory Investigates exploitation theory; trade theory; the role of expectations and ‘animal spirits’ on macroeconomic performance as well as empirical research in Marxian economics"
alma9946889680504105,,New perspectives on economic development : a human agency approach,"Yu, Tony Fu-Lai.",2011,,,,,,,Wageningen,Wageningen,"This book is the first of its kind to use Austrian subjectivism to analyze issues in economic development. Unlike scholars in mainstream neoclassical economics who explain economic development by quantitative growth models, this book attempts to understand economic progress in human agency perspective. In this approach, human agency is placed at the centre of economic analysis. This book begins with a review of the theories of economic development in the history of Austrian economics, with the intention of extending the contributions of major Austrian economists to development economics. After pointing out the weaknesses in the orthodox neoclassical approach to economic growth, the book then puts forward a subjectivist methodology which integrates the contributions of Max Weber, Alfred Schutz and Austrian Economists to interpret economic phenomena and policies. This chapter also serves as a methodological foundation for arguments elaborated in subsequent chapters. The rest of the book discusses important issues in economic development, namely, entrepreneurial process, national capabilities, innovation, trade, government, transition and catching up strategies for firms in latecomer economies. The book ends with concluding remarks and a proposal for a new research agenda in economic development. This book is well written, free from mathematics and is highly readable. It adds new insights not only in economics, but also in management, politics and social sciences. It will be useful to scholars, policy makers and students in economic development, entrepreneurship, theory of the firm, management of innovation, government policy, economic sociology, Austrian and evolutionary economics."
alma9946929708004105,,"Globalization, gating, and risk finance","Nyambuu, Unurjargal and Tapiero, Charles S.",2018,,,,,,,Wiley,"Hoboken, N.J","An in-depth guide to global and risk finance based on financial models and data-based issues that confront global financial managers. Globalization, Gating, and Risk Finance offers perspectives on global risk finance in a world with economies in transition. Developed from lectures and research projects investigating the consequences of globalization and strategic approaches to fundamental economics and finance, it provides an approach based on financial models and data; it includes many case-study problems. The book departs from the traditional macroeconomic and financial approaches to global and strategic risk finance, where economic power and geopolitical issues are intermingled to create complex and forward-looking financial systems. Chapter coverage includes: Globalization: Economies in Collision; Data, Measurements, and Global Finance; Global Finance: Utility, Financial Consumption, and Asset Pricing; Macroeconomics, Foreign Exchange, and Global Finance; Foreign Exchange Models and Prices; Asia: Financial Environment and Risks; Financial Currency Pricing, Swaps, Derivatives, and Complete Markets; Credit Risk and International Debt; Globalization and Trade: A Changing World; and Compliance and Financial Regulation. Provides a framework for global financial and inclusive models, some of which are not commonly covered in other books. Considers risk management, utility, and utility-based multi-agent financial theories. Presents a theoretical framework to assist with a variety of problems ranging from derivatives and FX pricing to bond default to trade and strategic regulation. Provides detailed explanations and mathematical proofs to aid the readers’ understanding. Globalization, Gating, and Risk Finance is appropriate as a text for graduate students of global finance, general finance, financial engineering, and international economics, and for practitioners."
alma9946961384004105,,Collaborative Approach to Trade : Enhancing Connectivity in Sea- and Land-Locked Countries,"Medda, Francesca Romana. and Caravelli, Francesco. and Caschili, Simone. and Wilson, Alan.",2017,,,,,,,Springer International Publishing,Cham,"This book applies regional analysis to the challenges facing global investment agencies seeking to enhance trade in lagging regions. It shows how spatial interaction and agent-based modelling can be used as the basis for developing new plans and policies. An in-depth analysis of trade routes is presented, which can be used to develop policies for increasing efficiency and reducing costs. Landlocked Uganda and the sea-locked South Pacific Islands serve to illustrate the problems of covering sizable distances, accelerating export flows and improving supply chain efficiency. These examples also provide an excellent illustration of the power of regional science, from assembling data bases in difficult situations to developing and applying models of the trade system."
alma9912490493404105,,An encyclopedia of macroeconomics,"Snowdon, Brian. and Vane, Howard R.",2002,,,,,,,E. Elgar,"Cheltenham, UK ;","""The Encyclopedia of Macroeconomics is an authoritative and invaluable reference source on macroeconomics, which embraces definitions of terms and concepts, conflicting ideological approaches and the contributions of major thinkers. Comprehensive in scope, it contains over 300 short entries and more than 100 specially commissioned main entries from an internationally renowned group of scholars."" ""The alphabetically ordered entries will be useful both as a basic reference source and a provocative stimulus for further reading. The Encyclopedia will soon be established as a leading reference source on macroeconomics that will both enlighten students and be highly valued by scholars and teachers of economics.""--Jacket."
alma9946919278904105,,Sustainability of External Imbalances : A Critical Appraisal,"Herzberg, Angélique.",2015,,,,,,,Springer Fachmedien Wiesbaden,Wiesbaden,"Since the mid-1990s, sustainability of large and persistent current account positions have been attracting much attention from policy makers and economists alike. Alongside global imbalances, sustainability of imbalances within the euro area, which started widening shortly after the introduction of the euro, raised much concern. While there exists a large body of theoretical and empirical literature on sustainability of external imbalances, a systematic survey has been lacking so far. Angélique Herzberg fills this gap by examining a broad range of established sustainability measures concerning their applicability to the various global and intra-euro imbalances of the recent past. Furthermore, the author examines the existence of feedback effects from an economy´s net international investment position to its trade balance.  Contents Empirical Studies on the Validity of the Intertemporal Budget Constraint Dynamic Benchmarks of External Sustainability  Targets Teachers and Students of Economics and Business Economic Policy Advisors  The Author Angélique Herzberg obtained a PhD in Economics in 2013 from Heinrich-Heine-University, Düsseldorf. Her areas of specialization are international macroeconomics and finance."
alma9946911369904105,,"The Economy as a Complex Spatial System : Macro, Meso and Micro Perspectives","Pasquale Commendatore and Commendatore, Pasquale. and Kubin, Ingrid. and Bougheas, Spiros. and Kirman, Alan. and Kopel, Michael. and Bischi, Gian Italo.",2018,,,,,,,Springer Nature,Cham,"This book is open access under a CC BY-NC 4.0 license. This collected volume represents the final outcome of the COST Action IS1104 “The EU in the new complex geography of economic systems: models, tools and policy evaluation”. Visualizing the EU as a complex and multi-layered network, the book is organized in three parts, each of them dealing with a different level of analysis: At the macro-level, Part I considers the interactions within large economic systems (regions or countries) involving trade, workers migration, and other factor movements. At the meso-level, Part II discusses interactions within specific but wide-ranging markets, with a focus on financial markets and banking systems. Lastly, at the micro-level, Part III explores the decision-making of single firms, especially in the context of location decisions."
alma9946892073204105,,"The dynamics of environmental and economic systems : innovation, environmental policy and competitiveness","Costantini, Valeria. and Mazzanti, Massimiliano.",2013,,,,,,,Springer,Dordrecht ;,"This book looks for responses to the need for more complex dynamic reasoning in environmental economics by developing a series of both theoretical and empirical integrated approaches. The quartet of core and interlinked issues addressed are central to the requirements of policy makers and scholars who require robust methodologies for assessing the role played by innovation and environmental policy in determining economic performance. The volume examines the potential alternative uses of recently available hybrid economic-environmental accounting at meso-level, both for ex-ante and ex-post analysis. It studies the deployment of dynamics to explain the co-evolution of economic and environmental systems. The authors also explore how technological innovation drives sustainability goals, and demonstrate the importance of working at sector level rather than at aggregated national level.   Exploiting econometric techniques aimed at dealing with the dynamics of economic systems and the heterogeneity of agents performances, the volume integrates innovation-based reasoning with ex-post analyses, and presents ex-ante analyses able to evaluate the role of climate change policies by using computable general equilibrium models such as the Global Trade Analysis Project for Energy (GTAP-E). The authors merge and use a range of datasets, including OECD-PATSTAT and STAN, to test novel techniques informed by evolutionary economic theories and the Porter hypothesis. The immediate relevance and applicability of the models will strengthen the hand of policy analysts for whom the dynamic efficiency of environmental policy is a new, high-profile evaluation criterion."
